update_step,actor_loss,critic_loss,entropy
434,-1.7636370658874512,0.22327391803264618,
435,,0.2483578622341156,
436,-1.8037173748016357,0.2756427824497223,
437,,0.4651816785335541,
438,-1.7729034423828125,0.3546435534954071,
439,,0.4942352771759033,
440,-1.7810078859329224,0.2665017247200012,
441,,0.8933897018432617,
442,-1.7280399799346924,0.3304966688156128,
443,,0.5847585797309875,
444,-1.6714931726455688,0.5987539291381836,
445,,0.33287861943244934,
446,-1.708513855934143,0.32122212648391724,
447,,0.6664977073669434,
448,-1.782503604888916,0.13506150245666504,
449,,0.45977962017059326,
450,-1.803483247756958,0.36776381731033325,
451,,0.4578233063220978,
452,-1.854324460029602,0.5821807384490967,
453,,0.6205024123191833,
454,-1.8413166999816895,0.5071823596954346,
455,,0.42207765579223633,
456,-1.8043313026428223,0.2736049294471741,
457,,0.42560428380966187,
458,-1.760735034942627,0.5799263715744019,
459,,0.4117640256881714,
460,-1.7783138751983643,0.290489137172699,
461,,0.34277868270874023,
462,-1.7797876596450806,0.3525758981704712,
463,,0.5036461353302002,
464,-1.7946076393127441,0.6465784311294556,
465,,0.4531024694442749,
466,-1.8093980550765991,0.4952223300933838,
467,,0.33526042103767395,
468,-1.8550958633422852,0.25089308619499207,
469,,0.5838590264320374,
470,-1.848830223083496,0.2697274386882782,
471,,0.5602447986602783,
472,-1.8733904361724854,0.29468443989753723,
473,,0.277689129114151,
474,-1.8337481021881104,0.4127300977706909,
475,,0.45300060510635376,
476,-1.8162384033203125,0.49336671829223633,
477,,0.35132965445518494,
478,-1.7985310554504395,0.5546754598617554,
479,,0.3560648560523987,
480,-1.8413562774658203,0.4354274868965149,
481,,0.3576563000679016,
482,-1.7834913730621338,0.7003501057624817,
483,,0.31032222509384155,
484,-1.8173359632492065,0.4095223844051361,
485,,0.5089472532272339,
486,-1.8360645771026611,0.19536951184272766,
487,,0.3450692892074585,
488,-1.8407093286514282,0.26045894622802734,
489,,0.6269266605377197,
490,-1.8850624561309814,0.20883709192276,
491,,0.13127297163009644,
492,-1.8488630056381226,0.5547932386398315,
493,,0.19363662600517273,
494,-1.8562191724777222,0.5814000368118286,
495,,0.4976990222930908,
496,-1.8495279550552368,0.26270759105682373,
497,,0.2274838387966156,
498,-1.8188130855560303,0.4682466983795166,
499,,0.5475831031799316,
500,-1.8654170036315918,0.4340267777442932,
501,,0.3224862515926361,
502,-1.8421666622161865,0.39134681224823,
503,,0.4243372976779938,
504,-1.8437495231628418,0.38268333673477173,
505,,0.6818329691886902,
506,-1.8892697095870972,0.26138633489608765,
507,,0.33604896068573,
508,-1.8550877571105957,0.615368664264679,
509,,0.2955954074859619,
510,-1.9122846126556396,0.31012171506881714,
511,,0.22535401582717896,
512,-1.8768939971923828,0.47475263476371765,
513,,0.5692143440246582,
514,-1.929870367050171,0.29810163378715515,
515,,0.2852473258972168,
516,-1.9171223640441895,0.57310950756073,
517,,0.6294384598731995,
518,-1.9193416833877563,0.5750221014022827,
519,,0.40128058195114136,
520,-1.903790831565857,0.3116059899330139,
521,,0.21591264009475708,
522,-1.894730567932129,0.48737725615501404,
523,,0.41882023215293884,
524,-1.9620283842086792,0.37067532539367676,
525,,0.44100311398506165,
526,-1.961440086364746,0.2934876084327698,
527,,0.42321133613586426,
528,-1.9395750761032104,0.2833201289176941,
529,,0.39842480421066284,
530,-1.928043246269226,0.38244080543518066,
531,,0.39610663056373596,
532,-1.9655413627624512,0.18554240465164185,
533,,0.3175244927406311,
534,-1.9625970125198364,0.4724591374397278,
535,,0.40469518303871155,
536,-1.911312460899353,0.8233675956726074,
537,,0.4606724977493286,
538,-1.8874911069869995,0.4892582297325134,
539,,0.4026041626930237,
540,-1.884353518486023,0.6035570502281189,
541,,0.5586522817611694,
542,-1.9080984592437744,0.3393849730491638,
543,,0.4127827286720276,
544,-1.943028211593628,0.31658196449279785,
545,,0.42641085386276245,
546,-2.0071375370025635,0.5549553632736206,
547,,0.40534132719039917,
548,-2.022512435913086,0.4141558110713959,
549,,0.5552200078964233,
550,-1.9820936918258667,0.4588823914527893,
551,,0.4275732934474945,
552,-1.923388123512268,0.2254718542098999,
553,,0.4409559369087219,
554,-1.9307136535644531,0.41268014907836914,
555,,0.43423882126808167,
556,-1.9436299800872803,0.4579448699951172,
557,,0.28859609365463257,
558,-1.9668893814086914,0.2717098891735077,
559,,0.46397000551223755,
560,-2.05100154876709,0.46443697810173035,
561,,0.5575374960899353,
562,-2.0149104595184326,0.28697603940963745,
563,,0.21166498959064484,
564,-2.000171422958374,0.29789966344833374,
565,,0.2762337327003479,
566,-1.973388433456421,0.4699784219264984,
567,,0.2447863519191742,
568,-2.024116039276123,0.32191646099090576,
569,,0.4806583523750305,
570,-1.989379644393921,0.3127810060977936,
571,,0.7010256052017212,
572,-1.9676785469055176,0.38651061058044434,
573,,0.11774188280105591,
574,-1.9835484027862549,0.3929256200790405,
575,,0.18013924360275269,
576,-1.995919942855835,0.5594782829284668,
577,,0.2012881487607956,
578,-2.06657075881958,0.37181520462036133,
579,,0.5099808573722839,
580,-2.0251340866088867,0.63588547706604,
581,,0.6595104932785034,
582,-2.014836549758911,0.4502079486846924,
583,,0.36929014325141907,
584,-1.9982537031173706,0.4210914969444275,
585,,0.5631066560745239,
586,-1.9723200798034668,0.36139583587646484,
587,,0.32985785603523254,
588,-2.065288782119751,0.23806509375572205,
589,,0.29571735858917236,
590,-2.1240460872650146,0.3911251425743103,
591,,0.2986786961555481,
592,-2.1143736839294434,0.5900229215621948,
593,,0.4758639633655548,
594,-2.0445146560668945,0.529254674911499,
595,,0.4850963354110718,
596,-2.0049707889556885,0.32597213983535767,
597,,0.49818655848503113,
598,-1.997780203819275,0.4536674916744232,
599,,0.39827960729599,
600,-1.9900602102279663,0.33854395151138306,
601,,0.3289427161216736,
602,-2.040322780609131,0.6329222321510315,
603,,0.3219241797924042,
604,-2.099346399307251,0.3295935392379761,
605,,0.3792420029640198,
606,-2.110950231552124,0.4875332713127136,
607,,0.5240679979324341,
608,-2.102987289428711,0.4111108183860779,
609,,0.28263983130455017,
610,-2.0975723266601562,0.36178281903266907,
611,,0.5473099946975708,
612,-2.0488409996032715,0.41130298376083374,
613,,0.17568418383598328,
614,-2.072707176208496,0.4825141727924347,
615,,0.3513687551021576,
616,-2.098280191421509,0.4212871491909027,
617,,0.5090717077255249,
618,-2.0773210525512695,0.42781245708465576,
619,,0.2822585701942444,
620,-2.0675220489501953,0.42362266778945923,
621,,0.532788872718811,
622,-2.0853869915008545,0.3671213388442993,
623,,0.20631630718708038,
624,-2.1465187072753906,0.46637606620788574,
625,,0.2285211682319641,
626,-2.177053451538086,0.2373073548078537,
627,,0.5758910179138184,
628,-2.150012493133545,0.5270345211029053,
629,,0.47331637144088745,
630,-2.086488723754883,0.5836355686187744,
631,,0.26316404342651367,
632,-2.0922963619232178,0.4047585725784302,
633,,0.4439498782157898,
634,-2.0964159965515137,0.3113138675689697,
635,,0.47264668345451355,
636,-2.0718040466308594,0.6598184704780579,
637,,0.5118846297264099,
638,-2.0566227436065674,0.5716174840927124,
639,,0.4249024987220764,
640,-2.1537530422210693,0.3493463695049286,
641,,0.505040168762207,
642,-2.082939863204956,0.45652347803115845,
643,,0.3946533799171448,
644,-2.132181406021118,0.6742114424705505,
645,,0.40564674139022827,
646,-2.1417927742004395,0.5009092092514038,
647,,0.21390724182128906,
648,-2.1514415740966797,0.47239238023757935,
649,,0.28010621666908264,
650,-2.2020111083984375,0.21833361685276031,
651,,0.4093948304653168,
652,-2.2170286178588867,0.20348170399665833,
653,,0.32880347967147827,
654,-2.1385955810546875,0.619412899017334,
655,,0.520429253578186,
656,-2.0918309688568115,0.41806864738464355,
657,,0.40821680426597595,
658,-2.1077370643615723,0.45810529589653015,
659,,0.5118058919906616,
660,-2.1896331310272217,0.5145623087882996,
661,,0.37903961539268494,
662,-2.2010693550109863,0.384188711643219,
663,,0.4453558325767517,
664,-2.2269487380981445,0.2884056568145752,
665,,0.6001968383789062,
666,-2.170163154602051,0.4372809827327728,
667,,0.31622886657714844,
668,-2.1807594299316406,0.26019060611724854,
669,,0.34613391757011414,
670,-2.167344331741333,0.4264849126338959,
671,,0.2322498857975006,
672,-2.1792140007019043,0.527085542678833,
673,,0.231631338596344,
674,-2.271489143371582,0.2447347640991211,
675,,0.1894088089466095,
676,-2.2502498626708984,0.3883616328239441,
677,,0.46264052391052246,
678,-2.2011561393737793,0.5874208807945251,
679,,0.5554463863372803,
680,-2.1776680946350098,0.41744667291641235,
681,,0.5144470930099487,
682,-2.160005569458008,0.21129585802555084,
683,,0.3541569113731384,
684,-2.2190985679626465,0.14306235313415527,
685,,0.35113805532455444,
686,-2.298766851425171,0.23055091500282288,
687,,0.32501572370529175,
688,-2.2971878051757812,0.28226909041404724,
689,,0.516251802444458,
690,-2.2764015197753906,0.2554748058319092,
691,,0.2961075007915497,
692,-2.2433342933654785,0.3396453857421875,
693,,0.36760878562927246,
694,-2.184993028640747,0.2927705645561218,
695,,0.4009900391101837,
696,-2.179994583129883,0.4182720184326172,
697,,0.4699707329273224,
698,-2.2140097618103027,0.6027415990829468,
699,,0.36356303095817566,
700,-2.253530263900757,0.2669409215450287,
701,,0.5206176042556763,
702,-2.2484335899353027,0.41033244132995605,
703,,0.3481736183166504,
704,-2.250699758529663,0.5645255446434021,
705,,0.24548262357711792,
706,-2.2421042919158936,0.4127073287963867,
707,,0.334064245223999,
708,-2.2335429191589355,0.6240428686141968,
709,,0.38793641328811646,
710,-2.2187182903289795,0.4867178797721863,
711,,0.40959373116493225,
712,-2.2206361293792725,0.29643452167510986,
713,,0.28452593088150024,
714,-2.312924385070801,0.1230197548866272,
715,,0.4388137757778168,
716,-2.227074384689331,0.7723419666290283,
717,,0.24818935990333557,
718,-2.295487403869629,0.3906301259994507,
719,,0.33320263028144836,
720,-2.226689338684082,0.6445833444595337,
721,,0.450761616230011,
722,-2.2733142375946045,0.17280909419059753,
723,,0.6145013570785522,
724,-2.335977077484131,0.14017616212368011,
725,,0.2138112485408783,
726,-2.3623650074005127,0.36548858880996704,
727,,0.4234771132469177,
728,-2.361314296722412,0.5764123201370239,
729,,0.5045427083969116,
730,-2.2665371894836426,0.36801719665527344,
731,,0.515209972858429,
732,-2.170332908630371,0.5257641077041626,
733,,0.44693341851234436,
734,-2.2198257446289062,0.4271498918533325,
735,,0.3226608633995056,
736,-2.3626773357391357,0.1525837779045105,
737,,0.5197194814682007,
738,-2.3499083518981934,0.48453807830810547,
739,,0.5278879404067993,
740,-2.3780713081359863,0.24728479981422424,
741,,0.526075005531311,
742,-2.3291897773742676,0.3628844916820526,
743,,0.3480413556098938,
744,-2.338216543197632,0.4149583876132965,
745,,0.6616438627243042,
746,-2.3089492321014404,0.20119708776474,
747,,0.5020111203193665,
748,-2.341447591781616,0.4083789587020874,
749,,0.3483520746231079,
750,-2.330320119857788,0.3508780002593994,
751,,0.3684452772140503,
752,-2.3748998641967773,0.35234469175338745,
753,,0.67557692527771,
754,-2.2327237129211426,0.648625373840332,
755,,0.24620141088962555,
756,-2.3050098419189453,0.40153321623802185,
757,,0.4640488624572754,
758,-2.3183305263519287,0.4068946838378906,
759,,0.42342400550842285,
760,-2.390148401260376,0.45483267307281494,
761,,0.7022740840911865,
762,-2.377995491027832,0.252006858587265,
763,,0.5309218764305115,
764,-2.320835828781128,0.43838244676589966,
765,,0.4368439316749573,
766,-2.4067935943603516,0.2608899772167206,
767,,0.2656010389328003,
768,-2.3729233741760254,0.49867868423461914,
769,,0.22008919715881348,
770,-2.4044528007507324,0.4016413390636444,
771,,0.37242335081100464,
772,-2.384733200073242,0.44173043966293335,
773,,0.190574049949646,
774,-2.3257665634155273,0.5998072624206543,
775,,0.28913235664367676,
776,-2.300795078277588,0.5678417086601257,
777,,0.10355181246995926,
778,-2.392673969268799,0.2704773247241974,
779,,0.4998926520347595,
780,-2.3919777870178223,0.3406817317008972,
781,,0.589052677154541,
782,-2.3849563598632812,0.4261013865470886,
783,,0.4009662866592407,
784,-2.387807846069336,0.4967418313026428,
785,,0.21631622314453125,
786,-2.3311610221862793,0.6347649097442627,
787,,0.4517633318901062,
788,-2.3690249919891357,0.47932106256484985,
789,,0.24978747963905334,
790,-2.3553104400634766,0.893022894859314,
791,,0.2651432156562805,
792,-2.3605031967163086,0.529247522354126,
793,,0.46914273500442505,
794,-2.398275375366211,0.39681750535964966,
795,,0.4297347664833069,
796,-2.3767571449279785,0.4385665953159332,
797,,0.3179001212120056,
798,-2.3855533599853516,0.3158351182937622,
799,,0.5358810424804688,
800,-2.484739303588867,0.2035841941833496,
801,,0.3024476170539856,
802,-2.506606101989746,0.3721744418144226,
803,,0.5626798272132874,
