episode,ep_return,ep_length,global_step,epsilon
272,79.79391479492188,86,22016,0.0
273,44.414527893066406,51,22272,0.0
274,41.15778732299805,48,22528,0.0
275,32.85737609863281,39,22528,0.0
276,60.20673751831055,66,22528,0.0
277,47.16120910644531,54,22528,0.0
278,33.95281982421875,40,22528,0.0
279,37.24528503417969,43,22528,0.0
280,31.097576141357422,37,22784,0.0
281,83.17420959472656,89,22784,0.0
282,47.65708923339844,54,22784,0.0
283,82.60066223144531,89,22784,0.0
284,57.220359802246094,63,23040,0.0
285,83.51408386230469,90,23040,0.0
286,83.18885040283203,90,23040,0.0
287,50.42527770996094,56,23296,0.0
288,53.24195861816406,59,23296,0.0
289,38.65298080444336,45,23296,0.0
290,85.10539245605469,91,23296,0.0
291,59.4507942199707,65,23552,0.0
292,85.63082885742188,92,23552,0.0
293,86.04305267333984,92,23552,0.0
294,28.461774826049805,34,23808,0.0
295,49.08884048461914,55,23808,0.0
296,65.49972534179688,71,23808,0.0
297,86.65499114990234,93,23808,0.0
298,42.961944580078125,49,24064,0.0
299,47.940162658691406,54,24064,0.0
300,40.40509796142578,46,24320,0.0
301,88.3261947631836,95,24320,0.0
302,56.29397964477539,62,24320,0.0
303,88.78076934814453,95,24320,0.0
304,46.62049102783203,52,24320,0.0
305,89.72329711914062,96,24576,0.0
306,28.414690017700195,34,24832,0.0
307,90.95553588867188,97,24832,0.0
308,70.455810546875,76,24832,0.0
309,68.33145141601562,74,25088,0.0
310,91.3736801147461,98,25088,0.0
311,41.02385330200195,47,25088,0.0
312,31.792816162109375,38,25088,0.0
313,92.98719024658203,99,25344,0.0
314,53.463706970214844,60,25344,0.0
315,56.3034553527832,62,25344,0.0
316,30.327470779418945,36,25344,0.0
317,53.22154998779297,60,25344,0.0
318,33.2923698425293,39,25344,0.0
319,53.916481018066406,60,25344,0.0
320,69.2038345336914,75,25600,0.0
321,61.02375030517578,67,25600,0.0
322,36.09180450439453,42,25600,0.0
323,43.57253646850586,50,25600,0.0
324,49.95048141479492,56,25600,0.0
325,28.04154396057129,34,25856,0.0
326,94.79515075683594,101,25856,0.0
327,53.389888763427734,59,25856,0.0
328,70.41938018798828,76,26112,0.0
329,36.2525634765625,43,26112,0.0
330,96.2452392578125,102,26112,0.0
331,34.47014236450195,41,26112,0.0
332,50.123600006103516,57,26368,0.0
333,72.21106719970703,79,26368,0.0
334,59.61859893798828,66,26368,0.0
335,38.40353775024414,44,26624,0.0
336,35.903568267822266,42,26624,0.0
337,49.4232063293457,56,26624,0.0
338,30.370397567749023,36,26624,0.0
